,State,Step,Susceptible,Infected,Removed,Dead,GDP Drop
0,California,0,29210000,565000,9730000,5000,0.03974183750949234
1,California,1,28385000,1385000,9735000,5000,0.035808656036447235
2,California,2,27490000,2280000,9735000,5000,0.031850164515313154
3,California,3,26755000,3005000,9745000,5000,0.028747152619590495
4,California,4,25890000,3860000,9755000,5000,0.02585674512781619
5,California,5,25105000,4620000,9780000,5000,0.023345988357378278
6,California,6,24355000,5320000,9830000,5000,0.021295874462161805
7,California,7,23550000,6095000,9860000,5000,0.0194887370286007
8,California,8,22870000,6745000,9890000,5000,0.01802075423943338
9,California,9,22255000,7240000,10010000,5000,0.016745127815743166
10,California,10,21650000,7710000,10145000,5000,0.015585927613262732
11,California,11,21075000,8075000,10355000,5000,0.014664641862819745
12,California,12,20475000,8425000,10605000,5000,0.013880030372057855
13,California,13,20035000,8605000,10860000,10000,0.013267527208301797
14,California,14,19625000,8625000,11245000,15000,0.012756264236902114
15,California,15,19150000,8605000,11740000,15000,0.012341179448240992
16,California,16,18685000,8525000,12285000,15000,0.011976714755758063
17,California,17,18345000,8245000,12905000,15000,0.011657808149835499
18,California,18,17955000,7885000,13645000,25000,0.011399645659326751
19,California,19,17635000,7470000,14380000,25000,0.011187041255378376
20,California,20,17235000,7075000,15175000,25000,0.010989622880283451
21,California,21,16925000,6575000,15985000,25000,0.010858010630220172
22,California,22,16585000,5940000,16950000,35000,0.010761832447481618
23,California,23,16305000,5285000,17880000,40000,0.010650468235889611
24,California,24,16035000,4620000,18805000,50000,0.010584662110857969
25,California,25,15740000,4040000,19680000,50000,0.010544166033915423
26,California,26,15495000,3495000,20470000,50000,0.01046823588964815
27,California,27,15270000,2850000,21335000,55000,0.010453049860794691
28,California,28,15115000,2340000,22000000,55000,0.010407491774234322
29,California,29,14965000,1915000,22570000,60000,0.010366995697291773
30,California,30,14715000,1570000,23155000,70000,0.010341685649202681
31,California,31,14520000,1250000,23670000,70000,0.010326499620349226
32,California,32,14290000,975000,24175000,70000,0.01031131359149577
33,California,33,14105000,755000,24575000,75000,0.010301189572260136
34,California,34,13945000,540000,24945000,80000,0.0102910655530245
35,California,35,13765000,405000,25260000,80000,0.010280941533788862
36,California,36,13640000,305000,25475000,90000,0.010265755504935407
37,California,37,13495000,245000,25680000,90000,0.010255631485699771
38,California,38,13415000,165000,25840000,90000,0.010255631485699771
39,California,39,13265000,185000,25970000,90000,0.010235383447228494
40,California,40,13160000,110000,26150000,90000,0.010235383447228494
41,California,41,13050000,85000,26285000,90000,0.010225259427992859
42,California,42,12980000,80000,26355000,95000,0.010215135408757221
43,California,43,12900000,80000,26435000,95000,0.010205011389521587
44,California,44,12810000,70000,26535000,95000,0.01019488737028595
45,California,45,12725000,105000,26585000,95000,0.01018982536066813
46,California,46,12630000,45000,26740000,95000,0.010184763351050313
47,California,47,12570000,40000,26805000,95000,0.010174639331814677
48,California,48,12510000,65000,26835000,100000,0.010159453302961223
49,California,49,12440000,30000,26940000,100000,0.010149329283725583
50,California,50,12390000,50000,26970000,100000,0.010118957226018672
51,California,51,12340000,25000,27045000,100000,0.010113895216400855
52,California,52,12300000,35000,27075000,100000,0.0100987091875474
53,California,53,12285000,45000,27080000,100000,0.010088585168311763
54,California,54,12245000,40000,27120000,105000,0.010078461149076123
55,California,55,12200000,60000,27145000,105000,0.010073399139458305
56,California,56,12175000,40000,27190000,105000,0.010063275120222667
57,California,57,12145000,40000,27220000,105000,0.010053151100987031
58,California,58,12165000,45000,27195000,105000,0.010037965072133576
59,California,59,12185000,55000,27165000,105000,0.010017717033662301
60,California,60,12220000,50000,27130000,110000,0.009997468995191026
61,California,61,12225000,55000,27120000,110000,0.009972158947101935
62,California,62,12210000,55000,27135000,110000,0.009941786889395024
63,California,63,12255000,20000,27125000,110000,0.0099063528220703
64,California,64,12245000,30000,27125000,110000,0.009891166793216844
65,California,65,12275000,40000,27085000,110000,0.009875980764363388
66,California,66,12270000,90000,27040000,110000,0.009855732725892115
67,California,67,12270000,15000,27115000,110000,0.00984054669703866
68,California,68,12280000,40000,27080000,110000,0.009820298658567386
69,California,69,12360000,40000,27000000,110000,0.009784864591242656
70,California,70,12410000,30000,26960000,110000,0.009754492533535745
71,California,71,12405000,75000,26920000,110000,0.009724120475828834
72,California,72,12440000,30000,26930000,110000,0.009703872437357562
73,California,73,12510000,40000,26845000,115000,0.009653252341179374
74,California,74,12555000,50000,26790000,115000,0.009597570235383372
75,California,75,12600000,45000,26750000,115000,0.009562136168058642
76,California,76,12680000,15000,26700000,115000,0.009531764110351733
77,California,77,12725000,50000,26620000,115000,0.009496330043027001
78,California,78,12760000,80000,26555000,115000,0.009450771956466633
79,California,79,12905000,35000,26455000,115000,0.009415337889141904
80,California,80,12985000,45000,26365000,115000,0.009369779802581536
81,California,81,13080000,60000,26255000,115000,0.00932422171602117
82,California,82,13110000,70000,26215000,115000,0.009283725639078623
83,California,83,13230000,50000,26115000,115000,0.009212857504429165
84,California,84,13310000,20000,26065000,115000,0.009172361427486618
85,California,85,13365000,90000,25940000,115000,0.009101493292837158
86,California,86,13495000,70000,25830000,115000,0.009045811187041158
87,California,87,13590000,95000,25710000,115000,0.009000253100480788
88,California,88,13640000,100000,25655000,115000,0.008949633004302605
89,California,89,13760000,60000,25575000,115000,0.00890913692736006
90,California,90,13820000,95000,25480000,115000,0.008853454821564057
91,California,91,13925000,70000,25400000,115000,0.008772462667678959
92,California,92,14000000,90000,25305000,115000,0.008711718552265137
93,California,93,14165000,100000,25130000,115000,0.008656036446469133
94,California,94,14270000,90000,25035000,115000,0.008595292331055313
