,State,Step,Susceptible,Infected,Removed,Dead,GDP Drop
0,California,0,29590000,485000,9435000,0,0.04014679827891788
1,California,1,28680000,1400000,9430000,0,0.03617312072893015
2,California,2,27735000,2335000,9440000,0,0.03243735763097996
3,California,3,26865000,3205000,9440000,0,0.029071121235130674
4,California,4,25940000,4110000,9460000,0,0.026044039483675292
5,California,5,25270000,4760000,9480000,0,0.023609212857504735
6,California,6,24505000,5460000,9545000,0,0.021498354846874568
7,California,7,23850000,6085000,9575000,0,0.019549481144014554
8,California,8,23205000,6660000,9645000,0,0.018041002277904693
9,California,9,22565000,7155000,9785000,5000,0.01670969374841844
10,California,10,21885000,7635000,9985000,5000,0.01556061756517365
11,California,11,21230000,8055000,10220000,5000,0.014578587699316834
12,California,12,20640000,8410000,10455000,5000,0.013788914198937132
13,California,13,20120000,8590000,10795000,5000,0.013156162996709802
14,California,14,19695000,8690000,11115000,10000,0.012639838015692304
15,California,15,19210000,8655000,11635000,10000,0.012093140976967892
16,California,16,18765000,8585000,12145000,15000,0.011698304226778056
17,California,17,18380000,8330000,12780000,20000,0.011394583649708953
18,California,18,17995000,8075000,13415000,25000,0.011151607188053659
19,California,19,17605000,7715000,14165000,25000,0.010939002784105274
20,California,20,17290000,7160000,15035000,25000,0.010726398380156894
21,California,21,17015000,6450000,16015000,30000,0.010630220197418341
22,California,22,16670000,5995000,16810000,35000,0.010544166033915421
23,California,23,16445000,5285000,17745000,35000,0.010453049860794688
24,California,24,16140000,4680000,18640000,50000,0.010372057706909594
25,California,25,15885000,4100000,19470000,55000,0.010296127562642319
26,California,26,15625000,3575000,20250000,60000,0.010270817514553224
27,California,27,15425000,3050000,20975000,60000,0.010225259427992857
28,California,28,15200000,2560000,21685000,65000,0.010189825360668129
29,California,29,14975000,2160000,22310000,65000,0.010149329283725576
30,California,30,14815000,1640000,22990000,65000,0.010118957226018662
31,California,31,14690000,1310000,23440000,70000,0.010103771197165207
32,California,32,14540000,1065000,23830000,75000,0.010083523158693932
33,California,33,14355000,850000,24230000,75000,0.010068337129840477
34,California,34,14240000,570000,24625000,75000,0.010063275120222658
35,California,35,14055000,455000,24925000,75000,0.010063275120222658
36,California,36,13935000,295000,25205000,75000,0.010053151100987022
37,California,37,13830000,260000,25340000,80000,0.010048089091369202
38,California,38,13770000,155000,25505000,80000,0.010043027081751383
39,California,39,13735000,105000,25590000,80000,0.010032903062515747
40,California,40,13655000,115000,25660000,80000,0.010017717033662294
41,California,41,13595000,70000,25765000,80000,0.009997468995191015
42,California,42,13440000,85000,25905000,80000,0.009997468995191015
